Date,Open,Open
2023-03-01,17360.099609,2163.51123
2023-03-02,17421.5,2157.050293
2023-03-03,17451.25,2168.264648
2023-03-06,17680.349609,2215.199219
2023-03-08,17665.75,2223.229248
2023-03-09,17772.050781,2229.967285
2023-03-10,17443.800781,2161.203857
2023-03-13,17421.900391,2149.66626
2023-03-14,17160.550781,2104.439209
2023-03-15,17166.449219,2108.223633
2023-03-16,16994.650391,2070.28833
2023-03-17,17111.800781,2071.903564
2023-03-20,17066.599609,2044.444336
2023-03-21,17060.400391,2048.090088
2023-03-22,17177.449219,2109.054199
2023-03-23,17097.400391,2093.363281
2023-03-24,17076.199219,2072.36499
2023-03-27,16984.300781,2046.751831
2023-03-28,17031.75,2072.134277
2023-03-29,16977.300781,2066.596191
2023-03-31,17210.349609,2081.364258
2023-04-03,17427.949219,2164.434326
2023-04-05,17422.300781,2167.203125
2023-04-06,17533.849609,2139.651611
2023-04-10,17634.900391,2169.049316
2023-04-11,17704.800781,2154.28125
2023-04-12,17759.550781,2156.450195
2023-04-13,17807.300781,2171.818115
2023-04-17,17863.0,2238.228027
2023-04-18,17766.599609,2193.970215
2023-04-19,17653.349609,2158.942383
2023-04-20,17638.599609,2172.833496
2023-04-21,17639.75,2169.64917
2023-04-24,17707.550781,2192.124268
2023-04-25,17761.550781,2183.817139
2023-04-26,17767.300781,2195.816162
2023-04-27,17813.099609,2192.124268
2023-04-28,17950.400391,2198.585205
2023-05-02,18124.800781,2248.611816
2023-05-03,18113.800781,2256.734131
2023-05-04,18081.0,2234.720703
2023-05-05,18117.300781,2253.042236
2023-05-08,18120.599609,2261.349121
2023-05-09,18303.400391,2284.424316
2023-05-10,18313.599609,2298.269287
2023-05-11,18357.800781,2306.530029
2023-05-12,18273.75,2279.624512
2023-05-15,18339.300781,2298.177002
2023-05-16,18432.349609,2301.961182
2023-05-17,18300.449219,2273.348145
2023-05-18,18287.5,2260.933838
2023-05-19,18186.150391,2246.627441
2023-05-22,18201.099609,2247.50415
2023-05-23,18362.900391,2271.179199
2023-05-24,18294.800781,2257.564941
2023-05-25,18268.900391,2246.489014
2023-05-26,18368.349609,2268.733154
2023-05-29,18619.150391,2326.88208
2023-05-30,18606.650391,2326.512939
2023-05-31,18594.199219,2307.499268
2023-06-01,18579.400391,2289.177734
2023-06-02,18550.849609,2280.732178
2023-06-05,18612.0,2277.224854
2023-06-06,18600.800781,2292.223633
2023-06-07,18665.599609,2295.500244
2023-06-08,18725.349609,2313.037109
2023-06-09,18655.900391,2313.960205
2023-06-12,18595.050781,2284.885742
2023-06-13,18631.800781,2302.884277
2023-06-14,18744.599609,2326.88208
2023-06-15,18774.449219,2355.310547
2023-06-16,18723.300781,2363.063721
2023-06-19,18873.300781,2385.03125
2023-06-20,18752.349609,2351.387939
