Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,3323.000000,3389.000000,3315.000000,3385.699951,3327.918213,1669307
2023-03-02,3361.000000,3369.899902,3318.000000,3321.449951,3264.764404,1556538
2023-03-03,3354.000000,3358.000000,3331.100098,3342.149902,3285.111572,1043190
2023-03-06,3361.899902,3404.949951,3359.000000,3371.850098,3314.304443,1334132
2023-03-08,3364.000000,3396.000000,3330.850098,3390.399902,3332.537842,1844590
2023-03-09,3385.000000,3385.000000,3330.850098,3336.850098,3279.901855,1648500
2023-03-10,3312.899902,3337.250000,3290.000000,3331.000000,3274.151611,1024404
2023-03-13,3333.000000,3369.800049,3272.000000,3281.949951,3225.938721,1901233
2023-03-14,3280.000000,3304.399902,3209.399902,3214.949951,3160.082275,2670334
2023-03-15,3250.000000,3260.350098,3192.000000,3198.899902,3144.305908,1780522
2023-03-16,3208.000000,3219.800049,3172.000000,3185.000000,3130.643555,1901060
2023-03-17,3150.500000,3221.399902,3144.000000,3179.300049,3125.041016,6739966
2023-03-20,3169.649902,3169.649902,3095.050049,3143.300049,3089.655029,2289468
2023-03-21,3143.300049,3156.750000,3097.449951,3106.100098,3053.089844,1815297
2023-03-22,3130.050049,3143.500000,3106.100098,3130.800049,3077.368408,1123939
2023-03-23,3114.899902,3146.350098,3101.000000,3124.649902,3071.323242,1372218
2023-03-24,3148.899902,3170.000000,3106.000000,3120.500000,3067.244141,1329577
2023-03-27,3135.000000,3152.750000,3106.000000,3122.300049,3069.013428,1524217
2023-03-28,3127.000000,3149.550049,3110.149902,3115.899902,3062.722412,1303530
2023-03-29,3129.000000,3150.000000,3104.100098,3138.899902,3085.330078,1740616
2023-03-31,3189.949951,3213.000000,3152.000000,3205.899902,3151.186523,2382581
2023-04-03,3224.949951,3224.949951,3173.750000,3200.000000,3145.387451,1521830
2023-04-05,3185.500000,3264.350098,3185.500000,3239.800049,3184.508301,2655065
2023-04-06,3225.000000,3257.350098,3215.000000,3220.699951,3165.734131,1703464
2023-04-10,3220.000000,3272.000000,3215.000000,3263.399902,3207.705322,2203187
2023-04-11,3264.000000,3272.949951,3192.149902,3213.800049,3158.951904,2348779
2023-04-12,3227.949951,3260.949951,3199.000000,3241.649902,3186.326416,2417727
2023-04-13,3210.000000,3230.000000,3180.000000,3188.850098,3134.427734,4174070
2023-04-17,3134.100098,3163.399902,3070.250000,3139.500000,3085.919678,5505048
2023-04-18,3154.949951,3156.850098,3110.600098,3130.750000,3077.319092,2617302
2023-04-19,3130.750000,3140.000000,3071.500000,3089.600098,3036.871826,3298034
2023-04-20,3090.000000,3113.000000,3078.000000,3104.800049,3051.812012,2419999
2023-04-21,3110.000000,3164.449951,3100.800049,3160.850098,3106.905762,1929184
2023-04-24,3151.100098,3180.949951,3126.149902,3174.800049,3120.617188,1640676
2023-04-25,3183.000000,3191.199951,3147.500000,3176.000000,3121.796875,2024090
2023-04-26,3181.000000,3208.399902,3181.000000,3198.149902,3143.568848,2000029
2023-04-27,3185.000000,3199.199951,3170.649902,3187.949951,3133.542969,2434446
2023-04-28,3200.399902,3227.250000,3196.250000,3219.250000,3164.308594,2931312
2023-05-02,3235.000000,3235.000000,3210.000000,3219.399902,3164.456299,2321159
2023-05-03,3216.000000,3216.000000,3173.149902,3179.899902,3125.630371,2468285
2023-05-04,3180.149902,3224.449951,3178.000000,3220.699951,3165.734131,1953253
2023-05-05,3220.000000,3244.000000,3210.050049,3230.699951,3175.563721,1710027
2023-05-08,3245.000000,3254.850098,3231.300049,3250.600098,3195.124023,928235
2023-05-09,3252.600098,3298.000000,3246.000000,3283.250000,3227.216553,1107375
2023-05-10,3290.000000,3306.500000,3266.050049,3286.800049,3230.706055,1559987
2023-05-11,3309.000000,3309.699951,3272.000000,3282.149902,3226.135254,1719623
2023-05-12,3279.149902,3290.000000,3260.000000,3274.300049,3218.419189,1027479
2023-05-15,3284.000000,3292.000000,3248.350098,3255.050049,3199.498047,1150390
2023-05-16,3256.199951,3285.000000,3250.449951,3258.149902,3202.544922,986306
2023-05-17,3255.949951,3280.000000,3198.250000,3208.699951,3153.938721,1588815
2023-05-18,3225.949951,3228.949951,3195.000000,3199.850098,3145.239990,1369364
2023-05-19,3210.000000,3234.500000,3203.050049,3222.850098,3167.847412,1152449
2023-05-22,3230.000000,3308.449951,3217.050049,3298.699951,3242.403076,1333243
2023-05-23,3306.000000,3327.949951,3290.100098,3297.050049,3240.781250,1687418
2023-05-24,3276.000000,3317.199951,3276.000000,3303.350098,3246.973633,1016555
2023-05-25,3294.000000,3306.000000,3267.100098,3293.500000,3237.291504,1374917
2023-05-26,3293.500000,3338.649902,3291.000000,3328.899902,3272.087158,1791115
2023-05-29,3360.800049,3372.000000,3312.000000,3320.350098,3263.683350,1210372
2023-05-30,3315.000000,3326.949951,3301.350098,3316.199951,3259.604248,1344224
2023-05-31,3309.000000,3327.699951,3265.149902,3289.500000,3233.360107,5815424
2023-06-01,3314.000000,3340.000000,3297.500000,3324.000000,3267.270996,1177314
2023-06-02,3326.250000,3335.899902,3297.449951,3305.600098,3249.185303,2030661
2023-06-05,3315.000000,3327.000000,3285.050049,3288.899902,3232.770020,1861468
2023-06-06,3280.000000,3288.850098,3220.600098,3232.300049,3177.136475,2022849
2023-06-07,3253.000000,3278.850098,3241.000000,3274.899902,3219.009033,1567196
2023-06-08,3261.000000,3270.000000,3233.000000,3236.449951,3181.215088,1759366
2023-06-09,3245.000000,3250.000000,3205.350098,3209.300049,3154.528564,1775689
2023-06-12,3215.000000,3254.399902,3211.000000,3246.899902,3191.486816,2324605
2023-06-13,3260.000000,3265.000000,3239.000000,3243.699951,3188.341309,1371928
2023-06-14,3243.699951,3255.850098,3225.850098,3251.050049,3195.565918,1658544
2023-06-15,3245.300049,3247.449951,3210.000000,3216.300049,3184.921143,2273810
2023-06-16,3197.000000,3199.399902,3156.000000,3174.899902,3143.924561,4156189
2023-06-19,3190.000000,3214.899902,3175.000000,3210.399902,3179.078369,1468186
2023-06-20,3214.000000,3232.500000,3201.050049,3227.699951,3196.209473,1528452
2023-06-21,3250.000000,3261.399902,3223.949951,3258.199951,3226.412109,1645987
2023-06-22,3260.000000,3267.649902,3230.100098,3238.500000,3206.904297,1529603
2023-06-23,3237.300049,3249.399902,3209.149902,3216.350098,3184.970459,1119505
2023-06-26,3205.000000,3213.899902,3173.000000,3189.649902,3158.531006,1978803
2023-06-27,3202.000000,3209.649902,3182.300049,3197.350098,3166.156006,863542
2023-06-28,3208.000000,3230.949951,3193.399902,3215.449951,3184.079102,1575872
2023-06-30,3220.000000,3310.000000,3214.100098,3302.250000,3270.032227,2672406
2023-07-03,3314.300049,3318.800049,3268.750000,3272.300049,3240.374756,1687264
2023-07-04,3290.000000,3315.000000,3277.300049,3308.850098,3276.568115,1656681
2023-07-05,3320.000000,3329.000000,3305.000000,3319.949951,3287.559570,1453008
2023-07-06,3306.550049,3328.449951,3302.000000,3322.899902,3290.480957,1848238
2023-07-07,3302.000000,3356.899902,3302.000000,3329.250000,3296.769287,1789326
2023-07-10,3324.750000,3324.750000,3265.199951,3271.949951,3240.027832,1407431
2023-07-11,3295.000000,3295.000000,3260.800049,3272.399902,3240.473633,1110172
2023-07-12,3280.949951,3289.149902,3250.100098,3259.899902,3228.095459,1515240
2023-07-13,3284.000000,3367.449951,3272.750000,3340.550049,3307.958740,4585146
2023-07-14,3365.000000,3524.850098,3352.000000,3514.649902,3480.360107,6306101
2023-07-17,3510.000000,3549.899902,3477.050049,3491.699951,3457.634033,2743228
2023-07-18,3476.000000,3524.000000,3465.000000,3496.850098,3462.734131,2600090
2023-07-19,3500.000000,3516.850098,3445.649902,3470.050049,3436.195313,2405370
2023-07-20,3453.100098,3478.899902,3436.050049,3463.300049,3438.429199,1715404
2023-07-21,3404.050049,3434.899902,3359.050049,3368.300049,3344.111572,3770223
2023-07-24,3381.000000,3413.449951,3372.100098,3394.750000,3370.371582,1680132
2023-07-25,3397.500000,3406.800049,3380.199951,3399.149902,3374.739746,1272980
2023-07-26,3400.350098,3420.850098,3385.000000,3388.300049,3363.967773,1066803
2023-07-27,3394.949951,3411.649902,3385.050049,3396.899902,3372.505859,1701769
2023-07-28,3385.000000,3393.699951,3331.000000,3355.399902,3331.303955,2599831
2023-07-31,3364.399902,3426.649902,3360.899902,3421.449951,3396.879639,2743678
2023-08-01,3415.000000,3460.000000,3415.000000,3452.050049,3427.260010,1956167
2023-08-02,3434.949951,3446.399902,3413.600098,3440.649902,3415.941895,1914899
2023-08-03,3420.000000,3433.250000,3368.000000,3399.949951,3375.534180,2026351
2023-08-04,3401.250000,3471.000000,3401.250000,3443.550049,3418.821045,2248493
2023-08-07,3453.949951,3488.000000,3441.250000,3484.050049,3459.030273,1853889
2023-08-08,3484.050049,3489.949951,3456.600098,3470.600098,3445.676758,1634225
2023-08-09,3464.899902,3467.000000,3425.050049,3462.500000,3437.635010,1794589
2023-08-10,3450.000000,3464.899902,3430.050049,3442.100098,3417.381348,1096701
2023-08-11,3438.100098,3466.649902,3414.000000,3448.800049,3424.033447,1679974
2023-08-14,3440.699951,3455.000000,3411.000000,3449.850098,3425.075684,1190425
2023-08-16,3450.000000,3466.000000,3435.199951,3458.399902,3433.564209,1328445
2023-08-17,3455.000000,3460.800049,3413.199951,3435.750000,3411.077148,1843241
2023-08-18,3410.000000,3410.000000,3356.500000,3367.100098,3342.920166,2526749
2023-08-21,3375.000000,3409.750000,3372.000000,3401.649902,3377.221924,1375579
2023-08-22,3400.000000,3411.000000,3365.050049,3382.149902,3357.861816,1222012
2023-08-23,3388.000000,3402.000000,3376.000000,3398.250000,3373.846436,1330046
2023-08-24,3408.000000,3413.050049,3378.100098,3387.750000,3363.421631,1152881
2023-08-25,3375.000000,3385.800049,3350.250000,3381.300049,3357.018066,1158046
2023-08-28,3394.000000,3394.000000,3360.100098,3375.550049,3351.309326,1037485
2023-08-29,3381.050049,3389.550049,3365.000000,3376.149902,3351.905029,944517
2023-08-30,3398.000000,3408.100098,3383.050049,3390.949951,3366.598633,1188200
2023-08-31,3401.000000,3417.399902,3343.649902,3356.800049,3332.694092,3417652
2023-09-01,3366.000000,3389.000000,3356.800049,3379.199951,3354.933105,1277950
2023-09-04,3378.000000,3432.850098,3370.050049,3418.500000,3393.950928,1828332
2023-09-05,3420.000000,3447.000000,3405.149902,3429.350098,3404.723145,1501842
2023-09-06,3434.000000,3443.899902,3398.100098,3429.899902,3405.268799,1314818
2023-09-07,3430.800049,3460.000000,3422.300049,3455.250000,3430.437012,1885092
2023-09-08,3455.250000,3465.000000,3435.050049,3441.899902,3417.182861,1518917
2023-09-11,3462.000000,3485.699951,3445.000000,3480.649902,3455.654541,1783604
2023-09-12,3492.000000,3589.899902,3483.000000,3580.800049,3555.085449,4476016
2023-09-13,3571.100098,3588.850098,3545.000000,3567.850098,3542.228516,1754929
2023-09-14,3570.050049,3597.699951,3545.600098,3560.050049,3534.484619,2604721
2023-09-15,3567.850098,3607.350098,3562.449951,3598.300049,3572.459717,2952897
2023-09-18,3580.050049,3619.300049,3575.250000,3606.149902,3580.253174,1395753
2023-09-20,3580.000000,3625.000000,3580.000000,3606.050049,3580.154053,1649396
2023-09-21,3588.550049,3605.000000,3528.000000,3585.300049,3559.553223,2004073
2023-09-22,3584.000000,3633.750000,3565.050049,3603.649902,3577.771240,1989083
2023-09-25,3602.500000,3620.000000,3558.649902,3577.149902,3551.461670,1238778
2023-09-26,3567.600098,3594.949951,3536.000000,3585.699951,3559.949951,1726062
2023-09-27,3590.000000,3614.000000,3555.699951,3589.300049,3563.524414,1541134
