Date,Open,High,Low,Close,Adj Close,Volume
2023-07-07,473.000000,475.500000,467.600006,468.399994,461.620239,7323451
2023-07-10,470.000000,470.899994,463.700012,465.850006,459.107178,6521300
2023-07-11,466.000000,474.549988,466.000000,473.149994,466.301483,8457557
2023-07-12,477.750000,477.750000,470.450012,472.299988,465.463776,12340934
2023-07-13,473.899994,476.750000,471.000000,472.000000,465.168152,7909757
2023-07-14,473.000000,475.000000,471.350006,472.899994,466.055115,5081391
2023-07-17,474.500000,475.799988,470.600006,472.350006,465.513092,6090738
2023-07-18,472.549988,474.200012,471.000000,472.500000,465.660919,5352283
2023-07-19,472.750000,480.450012,468.100006,478.850006,471.919006,13867323
2023-07-20,479.899994,493.700012,476.299988,492.149994,485.026489,20250206
2023-07-21,491.799988,497.700012,487.000000,490.450012,483.351105,13971982
2023-07-24,493.450012,499.700012,468.149994,471.350006,464.527557,38976815
2023-07-25,467.899994,468.500000,455.399994,462.299988,455.608521,43534718
2023-07-26,464.899994,473.000000,462.049988,472.250000,465.414520,18143422
2023-07-27,474.399994,475.149994,461.100006,465.049988,458.318726,13989457
2023-07-28,467.700012,469.450012,463.399994,468.450012,461.669525,9978231
2023-07-31,469.000000,469.700012,463.500000,465.700012,458.959351,8194797
2023-08-01,466.000000,468.850006,463.799988,464.799988,458.072357,6438221
2023-08-02,464.600006,464.799988,458.000000,460.100006,453.440399,10318220
2023-08-03,460.100006,463.750000,454.299988,456.049988,449.449005,10617897
2023-08-04,456.299988,461.399994,454.250000,454.950012,448.364929,6834401
2023-08-07,454.100006,456.549988,450.950012,454.899994,448.315643,9161131
2023-08-08,457.000000,457.000000,451.049988,452.350006,445.802582,6392488
2023-08-09,452.350006,459.899994,446.899994,458.649994,452.011383,9758343
2023-08-10,458.899994,459.299988,449.000000,451.750000,445.211243,13194170
2023-08-11,453.899994,453.899994,444.750000,448.750000,442.254669,11582326
2023-08-14,448.750000,451.250000,445.049988,449.200012,442.698181,7562808
2023-08-16,451.000000,457.399994,448.200012,450.250000,443.732971,14920272
2023-08-17,450.000000,450.000000,440.000000,441.000000,434.616852,16269569
2023-08-18,441.000000,443.350006,438.500000,441.649994,435.257446,19324262
2023-08-21,442.000000,448.500000,441.350006,447.799988,441.318420,9572041
2023-08-22,449.000000,455.149994,447.000000,454.250000,447.675049,9854945
2023-08-23,455.600006,455.649994,448.600006,450.450012,443.930084,8445029
2023-08-24,450.600006,453.500000,449.299988,450.899994,444.373535,6088274
2023-08-25,450.899994,451.000000,442.049988,443.350006,436.932831,9270988
2023-08-28,445.000000,446.850006,441.000000,441.399994,435.011047,6910750
2023-08-29,442.950012,444.000000,439.200012,440.100006,433.729889,9480003
2023-08-30,441.000000,444.000000,440.500000,442.799988,436.390778,7364924
2023-08-31,443.000000,444.899994,436.100006,439.700012,433.335663,19900312
2023-09-01,440.000000,445.000000,438.299988,441.049988,434.666107,11438624
2023-09-04,443.350006,443.350006,436.649994,437.500000,431.167511,13604608
2023-09-05,438.899994,444.500000,438.500000,443.100006,436.686462,8378915
2023-09-06,443.950012,448.500000,442.000000,447.450012,440.973511,12863039
2023-09-07,448.799988,449.000000,444.600006,445.899994,439.445923,8090369
2023-09-08,447.899994,447.899994,441.850006,442.649994,436.242950,9939517
2023-09-11,446.000000,448.100006,442.649994,447.200012,440.727112,9320577
2023-09-12,448.899994,454.299988,445.600006,451.149994,444.619934,14406441
2023-09-13,452.200012,457.000000,451.100006,453.500000,446.935913,11813170
2023-09-14,455.899994,455.899994,447.149994,449.950012,443.437317,14430930
2023-09-15,448.049988,452.100006,447.000000,448.350006,441.860474,15077136
2023-09-18,448.350006,454.000000,446.200012,452.049988,445.506897,8197425
2023-09-20,451.700012,455.100006,449.549988,452.950012,446.393890,9959649
2023-09-21,452.799988,453.549988,444.500000,447.500000,441.022766,10719470
2023-09-22,447.500000,448.399994,442.250000,443.100006,436.686462,7506309
2023-09-25,443.100006,444.799988,438.350006,442.600006,436.193695,5782955
2023-09-26,443.600006,444.500000,439.700012,442.450012,436.045868,5327833
2023-09-27,442.450012,449.799988,438.799988,449.149994,442.648865,10490786
2023-09-28,449.950012,449.950012,439.600006,440.750000,434.370453,10216736
2023-09-29,442.000000,445.600006,439.200012,444.399994,437.967621,8160058
2023-10-03,441.000000,442.899994,439.250000,439.750000,433.384949,7481883
2023-10-04,439.750000,441.700012,433.299988,436.100006,429.787781,13396709
2023-10-05,440.000000,440.500000,435.049988,436.049988,429.738495,10030257
2023-10-06,437.850006,443.600006,436.649994,442.149994,435.750183,8418580
2023-10-09,440.950012,443.200012,437.250000,440.450012,434.074829,5611154
2023-10-10,440.450012,444.850006,440.450012,444.399994,437.967621,5014758
2023-10-11,447.200012,449.450012,444.799988,448.250000,441.761902,7651513
2023-10-12,449.649994,452.500000,446.149994,450.700012,444.176453,11774487
2023-10-13,449.850006,451.799988,447.000000,448.350006,441.860474,7632483
2023-10-16,448.000000,451.000000,446.200012,448.950012,442.451782,4214958
2023-10-17,449.799988,454.500000,449.000000,453.450012,446.886658,6936218
2023-10-18,454.250000,458.200012,451.000000,451.649994,445.112701,6894947
2023-10-19,449.750000,454.899994,446.850006,450.399994,443.880768,9465463
2023-10-20,445.000000,449.000000,437.350006,438.299988,431.955902,13020371
2023-10-23,438.000000,439.950012,433.100006,435.899994,429.590668,7275471
2023-10-25,436.899994,438.000000,427.049988,432.700012,426.436981,10889221
2023-10-26,429.549988,436.600006,429.549988,434.350006,428.063110,18801214
2023-10-27,434.350006,436.799988,432.200012,433.750000,427.471771,13132487
2023-10-30,434.549988,437.149994,428.350006,430.450012,424.219574,7618033
2023-10-31,430.000000,433.350006,427.899994,428.399994,422.199219,8620154
2023-11-01,430.000000,431.100006,425.500000,428.100006,421.903564,7990245
