Product Name,Price,Discount,Original Price
Bharat Chana Dal 1 Kg,60.0,0.0,60.0
Just Pressed Cold Pressed Safflower Oil | 100% Pure Safflower Kusum Saffola Oil | Unrefined & Zero Additives | Healthy Heart Oil | Saffola Hero Ingredient | Kachi Ghani Oil | Wood Cold Pressed Oil | Safflower Oil 5000 ML,1699.0,34.0,2574.0
Super Sarvottam Physically Refined Rice Bran Oil 1 L,97.0,51.0,198.0
Saffola Active Pro Weight Watchers Rice Bran Based Blended Oil 1 L,106.0,33.0,158.0
Tata Iodised Salt 1 kg,24.0,14.0,28.0
Ganga 5 Ltr Rice bran Oil Jar,800.0,0.0,800.0
Chakki Atta 10 kg,355.0,16.0,423.0
Fortune Sunlite Refined Sunflower Oil 1 L,110.0,18.0,134.0
Good Life Refined Sunflower Oil 1 L,99.0,50.0,198.0
Good Life Toor Dal 2 kg,349.0,22.0,447.0
Fortune Premium Kachi Ghani Pure Mustard Oil 1 L (Pouch),137.0,23.0,178.0
"5 A Day Kashmiri Walnut Kernels (Sharabati Sweet Halves) , 750g (Pack of 3)| Kashmiri Walnuts|Akhrot",599.0,49.0,1175.0
Good Life Pure Crystal Sugar (M) 5 kg,227.0,24.0,299.0
Chakki Atta 5 kg,195.0,22.0,250.0
Good Life Almonds 500 g,359.0,34.0,544.0
Good Life Jeera 100 g,63.0,58.0,150.0
Good Life (W320) Cashews 500 g,369.0,26.0,499.0
Just Pressed Groundnut & Safflower Oil Combo - Wood Cold Pressed - 1 Ltr Each,669.0,33.0,999.0
Nutri Binge 500g California Almonds Vitals,305.0,53.0,649.0
Gemini Refined Sunflower Oil 1 L,117.0,34.0,177.0
Amul Pure Ghee 1 L (Pouch),590.0,7.0,634.0
Nandini Pure Cow Ghee 1 L (Pouch),585.0,10.0,650.0
Suji / Rawa 1 kg,50.0,52.0,104.0
"5 A Day Kashmiri Walnut Kernels (Sharbati Sweet Halves) , 1kg (Pack of 4)| Kashmiri Walnuts| Akhrot",699.0,56.0,1589.0
Good Life Raw Peanuts 500 g,91.0,24.0,120.0
Fortune Sunlite Refined Sunflower Oil 5 L,599.0,15.0,705.0
Nutri Binge 500g Whole Cashews,335.0,55.0,744.0
Suji / Rawa 500 g,25.0,52.0,52.0
Good Life Free Flow Iodised Salt 1 kg,15.0,46.0,28.0
KRISHIVAL NUTS 100% Natural Premium California Dried Almonds 250g Pack Pouch | Premium Badam Giri | High in Fiber & Boost Immunity | Real Nuts | Gluten Free,318.0,3.0,328.0
Good Life Sugar (M) 1 kg,48.0,26.0,65.0
Aashirvaad Superior MP Atta 10 kg,475.0,16.0,565.0
Sugar (M) 2 kg,91.0,24.0,120.0
Good Life Value Almond 500 g,319.0,39.0,523.0
Navjeevan Jeera 500g (Cumin),249.0,66.0,732.0
Just Pressed Cold Pressed Safflower Oil | 100% Pure Safflower Kusum Saffola Oil | Unrefined & Zero Additives | Healthy Heart Oil | Saffola Hero Ingredient | Kachi Ghani Oil | Wood Cold Pressed Oil | Safflower Oil 1000 ML,369.0,32.0,543.0
Good Life Kachi Ghani Mustard Oil 1 L (Bottle),123.0,29.0,173.0
India Gate Mogra Basmati Rice 10 kg,647.0,21.0,819.0
Good Life Yellow Kishmish 500 g,135.0,26.0,182.0
"GreenFinity Mix Dry Fruits and Nuts, 1kg [Almonds, Walnuts, Cashew, Pumpkin, Cranberry, Black Raisin & Many More] Healthy Gift Hamper for Every Occasion Fresh and Healthy Dry Fruits, Seeds & Nuts.",599.0,53.0,1274.0
DAIRYSAGAR GOPAL Pure Desi Cow Ghee Pure Cow Ghee for Better Digestion and Immunity 1 ltr jar-1,397.0,41.0,673.0
5 A Day Walnuts Premium Walnut InShell (Regular) 500g | Walnuts | Dry fruits |,499.0,37.0,792.0
Gulab Gold Filtered Groundnut Oil 5 L,879.0,24.0,1157.0
Good Life Turmeric Powder 100 g,25.0,50.0,50.0
Aashirvaad Superior MP Atta 5 kg,245.0,16.0,292.0
Good Life Jeera 200 g,125.0,59.0,305.0
Patanjali Kachi Ghani Mustard Oil 1 L (Bottle),139.0,0.0,139.0
"5 A Day Walnuts 2Kg Kashmiri Walnut Kernels (Sharbati Sweet Halves) , 2kg (Pack of 8) | Kashmiri Walnuts| Akhrot",1399.0,56.0,3180.0
Tata Sampann White Poha 500 g,49.0,7.0,53.0
Good Life Moong Dal 2 kg,233.0,31.0,338.0
Daawat Sonamasoori Rice 10 kg,669.0,25.0,892.0
Aashirvaad Select Sharbatti Wheat Atta 5 kg,271.0,18.0,330.0
Gulab Gold Filtered Groundnut Oil 1 L,173.0,34.0,262.0
5 A Day Walnuts Kashmiri Light Halves Walnut Kernels 500g (Pack of 2) | Kashmiri Walnuts| Walnut| Akhrot,549.0,60.0,1372.0
Sunrich Refined Sunflower Oil 899 g,101.0,33.0,151.0
Besan 500 g,43.0,54.0,93.0
Coreganic 1kg 100% Natural International Premium Whole Cashews,697.0,61.0,1787.0
Maida 1 kg,45.0,57.0,105.0
Gowardhan Pure Cow Ghee 1 L (Pouch),651.0,10.0,723.0
Daawat Rozana Super Basmati Rice 1 kg,75.0,23.0,97.0
Safola Gold Multisource Blended Refined Edible Oil 5 L (Can) + 1 L Free (Pouch),849.0,10.0,943.0
Gulab Sungold Refined Sunflower Oil 15 L (Tin),1572.0,23.0,2042.0
Good Life Thick Poha / Aval 1 kg,63.0,36.0,98.0
Daawat Rozana Gold Basmati Rice 5 kg,449.0,21.0,568.0
Fortune Superfine Besan 500 g,55.0,31.0,80.0
Patanjali Cow Ghee 500 ml (Carton),335.0,5.0,353.0
Daawat Rozana Super Basmati Rice 5 kg,369.0,24.0,486.0
Dhara Nourish Vit A E Refined Sunflower Oil 1 L,112.0,25.0,149.0
"Horaira Nutz Dry Fruits Combo Pack 1Kg Cashews 250g , Figs 250g , Raisins 250g , Almond 250g",720.0,62.0,1895.0
Gowardhan Cow Ghee 1 L (Pack of 2) Pouch With Lock & Seal Container,1219.0,15.0,1434.0
Good Life Tur Dal 1 kg,221.0,16.0,263.0
Maggi Masala Ae Magic 6 g (Pack of 12),55.0,8.0,60.0
Good Life Moong Dal 500 g,76.0,20.0,95.0
"Farmley Handpicked Gold Makhana ( Fox Nuts) , 500g (Pack of 2, Each 250g)",398.0,33.0,594.0
Daawat Devaaya Everyday Rice 5 kg,299.0,50.0,598.0
Good Life Big Mustard 100 g,15.0,40.0,25.0
Saffola Gold Rice Bran Based Blended Oil 3 L,429.0,37.0,681.0
Pyramid Traders 1KG Kashmiri Mamra Almonds (Badam Giri),1099.0,72.0,3925.0
Good Life Kabuli Chana 500 g,111.0,17.0,134.0
Tulsi California Rozana Value Almonds 1 Kg,626.0,45.0,1138.0
Surya 1kg Cumin Whole| Jeera Whole| 100% Natural| Best Whole Spices,489.0,51.0,998.0
Suhana Simla Premium 1 Liter Danedar Cow Ghee | Pure Cow Ghee | 1Liter,409.0,47.0,772.0
Good Life MP Wheat Chakki Atta 1 kg,43.0,14.0,50.0
Tata Sampann Unpolished Moong Dal 500 g,97.0,10.0,108.0
BLK Foods Select 1Kg Californian Almond Kernel | American Jumbo size Healthy Badam Giri Nuts (500g x 2packs),699.0,69.0,2255.0
India Gate Rozana Basmati Rice 5 kg,449.0,23.0,583.0
Freshtige Premium Dried Afghani Anjeer 1KG Pouch Pack| Dried Figs| Non-GMO Dried Figs,599.0,60.0,1498.0
Date Crown Premium Fard Dates 500 g,189.0,34.0,286.0
Regular Value Pack Plain Cashews 500 g,355.0,29.0,500.0
Elina Long Grain Rice 1 kg,65.0,66.0,191.0
Good Life MP Wheat Chakki Atta 5 kg,199.0,27.0,273.0
Anjani Anjeer 100% Natural Anjeer (Dry Figs) 500g,369.0,58.0,879.0
Nutraj California Walnuts InShell 1 kg (500gm x 2),529.0,51.0,1080.0
Tata Sampann Unpolished Chilka Moong 500 g,98.0,10.0,109.0
Good Life Chana Dal 500 g,52.0,25.0,69.0
Good Life Coriander Powder 100 g,19.0,24.0,25.0
Fortune Thick Poha 500 g,30.0,50.0,60.0
Tata Sampann Unpolished Green Whole Moong 500 g,93.0,10.0,103.0
Besan 1 kg,89.0,53.0,189.0
Gulab Sungold Refined Sunflower Oil 1 L,97.0,35.0,149.0
Good Life Small Brown Chana 500 g,53.0,23.0,69.0
Madhur Pure & Hygienic Sugar 1 kg,53.0,18.0,65.0
Gowardhan Pure Cow Ghee 1 L (Jar),675.0,9.0,742.0
Good Life Compounded Hing Powder 50 g,55.0,42.0,95.0
Maida 500 g,25.0,52.0,52.0
Good Life Whole Moong 500 g,85.0,10.0,94.0
Tata Sampann Unpolished Masoor Dal 1 kg,134.0,10.0,149.0
Fortune Rice Bran Health Physically Refined Rice Bran Oil 5 L,669.0,13.0,769.0
Farmley Whole Cashews Natural Raw W400 Kaju 500g,409.0,45.0,744.0
Fortune Sulphurless Sugar 1 kg,54.0,16.0,64.0
Fortune Everyday Full Grain Basmati Rice 1 kg,129.0,23.0,168.0
Amul Pure Ghee 500 ml (Pouch),309.0,3.0,319.0
Good Life Masoor Dal 500 g,53.0,27.0,73.0
Saffola Active RiceBran Based Blended Oil 5 L,569.0,29.0,801.0
Amul Cow Ghee 1 L (Pouch),604.0,7.0,649.0
Tata Sampann Unpolished Moong Dal 1 kg,192.0,10.0,213.0
Dhara Lite N Fine Refined Soyabean Oil 1 L,111.0,34.0,168.0
Gulab Sungold Refined Sunflower Oil 5 L,545.0,22.0,699.0
Nutri Binge 500g Premium California Almonds,351.0,47.0,662.0
Wonderland Foods Premium Raisins 500 g,115.0,61.0,295.0
Good Life Soya Wadi / Chunks 200 g,27.0,50.0,54.0
Farmley Premium Broken Walnut Akhrot giri l kernels Pack of 2 400g each 200g,399.0,33.0,596.0
Freshtige 100% Natural and Premium Healthy Mix Dry Fruits 1kg(500gms*2)|Fresh and Healthy Dry Fruits,560.0,62.0,1474.0
Amul Pure Ghee 1 L (Tin),615.0,5.0,647.0
Good Life Almonds 1 kg,715.0,31.0,1036.0
India Gate Super Basmati Rice 5 kg,739.0,31.0,1071.0
Good Life Thick Poha / Aval 500 g,32.0,34.0,48.0
