Product Name,Price,Discount,Original Price
Brill Premium Whole Cashews 1kg,639.0,65.0,1826.0
Good Life Filtered Groundnut Oil 1 L,171.0,20.0,214.0
Nature Fresh Sampoorna Chakki Whole Wheat Atta 10 kg,395.0,14.0,459.0
Good Life Moong Dal 1 kg,151.0,20.0,189.0
Parth Jaggery 950 g,59.0,34.0,89.0
Dhara Filtered Groundnut Oil 1 L (Pouch),194.0,15.0,228.0
Good Life Toor Dal 500 g,111.0,17.0,134.0
Gemini Refined Sunflower Oil 15 L,1615.0,19.0,1994.0
Catch Chat Masala Sprinklers 100 g,76.0,10.0,84.0
Tata Sampann Unpolished Kabuli Chana 500 g,133.0,10.0,148.0
Good Life Chana Dal 2 kg,165.0,31.0,239.0
Tata Sampann Unpolished Kala Chana 500 g,67.0,10.0,74.0
Nutraj California Roasted & Salted Pistachios 200 g,215.0,43.0,377.0
Daawat Super Basmati Rice 1 kg,149.0,32.0,219.0
Navjeevan 500g Green Cardamom | Green Elaichi,949.0,56.0,2157.0
"RED ROSE MINI MONGRA BASMATI RICE, 30 KG",1649.0,2.0,1683.0
Annprash White Sugar - 0.5 kg,149.0,70.0,497.0
"Marwar Red Chili Powder 1 Kg (Lal Mirchi Powder | Red Chilly Powder, Agmark Grade) 1 Kilogram Pack",275.0,50.0,550.0
Utkal's KASPER 30 Kg SONA MASURI RAW RICE,1698.0,16.0,2021.0
Nature's Choice Arabian Dates 500 g,99.0,50.0,198.0
Good Life Surti Kolam Rice 10 kg,699.0,12.0,794.0
GKD's Premium 2 L Pure Coconut Oil Jar,550.0,33.0,821.0
India Gate Everyday Basmati Rice 5 kg,365.0,23.0,474.0
Fortune Soya Health Refined Soyabean Oil 5 L,625.0,13.0,718.0
Lotus Spices Green Elaichi 10 g,28.0,30.0,40.0
Gowardhan Pure Cow Ghee 500 ml (Jar),355.0,7.0,382.0
Rentio Premium Deshi Oiled Tur / Arhar Dal 5 kg,989.0,29.0,1393.0
Puro Healthy Salt 1 kg,89.0,19.0,110.0
Gavya Dhara Bilona Method Cow Desi Pure Ghee 1 Ltr Made by Priyal Milk Dairy,999.0,9.0,1098.0
Nestle EveryDay Ghee 1 L (Carton),545.0,13.0,626.0
Good Life Chana Dal 1 kg,99.0,28.0,138.0
Heritage Cow Ghee 1 L (Pouch),529.0,22.0,678.0
Dhara Kachi Ghani Mustard Oil 5 L,725.0,12.0,824.0
"Happilo Essentials Popular Whole Cashew W400 1kg, Healthy Snack, Source of Protein, Vitamin & Minerals, No Preservatives",720.0,46.0,1333.0
Vittal Balaji Super Value Cashew 500 g,299.0,33.0,446.0
Good Life Black Pepper 50 g,55.0,15.0,65.0
Good Life Urad Dal 1 kg,169.0,11.0,190.0
Nutri Binge 1kg Vitals California Almonds,640.0,51.0,1306.0
Fortune Maida / Refined Wheat Flour 500 g,27.0,30.0,39.0
Good Life Whole (W320) Cashews 200 g,189.0,24.0,249.0
Good Life MP Wheat Chakki Atta 10 kg,419.0,16.0,499.0
Nutri Binge 500g Pistachios Roasted & Salted California,520.0,43.0,912.0
Sunny Sun Lite Refined Sunflower Oil 1 L (Pouch),102.0,44.0,182.0
Good Life Masoor Dal 1 kg,105.0,27.0,144.0
India Gate Dubar Basmati Rice 1 kg,130.0,20.0,162.0
"VEEDINT CUMIN SEEDS, JEERA WHOLE, CUMIN SEED WHOLE, 1 KG PACK",575.0,39.0,943.0
Good Life Green Kishmish 500 g,135.0,26.0,182.0
Everest Kashmirilal Chilli Powder 100 g,111.0,7.0,119.0
"Horaira Nutz Premium Dry fruits Combo Pack 500g Almond , Cashews ( Pack of 2 _ Each 250g )",539.0,46.0,998.0
Tata Sampann Unpolished Chana Dal 500 g,72.0,10.0,80.0
Good Life Dry White Peas 500 g,55.0,14.0,64.0
Ritually Pure 100% Organic | Jaggery Powder | Gudiya Shakkar | Made from Organic Cane|450g*2|900g,240.0,50.0,480.0
Good Life Roasted Chana Dal / Split Bengal Gram 500 g,67.0,16.0,80.0
Goshudh Best Quality Peanut -1Kg (Pack Of 1) Moongfali (1000 g),305.0,49.0,598.0
"RED ROSE ROYAL BASMATI RICE 5KG I XXXL BIRYANI RICE I BEST BASMATI RICE FOR BIRYANI, 5 KG",699.0,46.0,1294.0
Rice Villa Rozana Basmati Rice 26 Kg,1559.0,40.0,2598.0
Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,149.0,6.0,159.0
Good Life California Roasted & Salted Pista 200 g,235.0,21.0,297.0
Good Life Unpolished Moong Dal 500 g,81.0,21.0,103.0
Good Life Big Sabudana / Sago 500 g,47.0,21.0,59.0
Anjani Anjeer 100% Natural Dry Figs/Anjeer 1 kg,699.0,56.0,1589.0
Fortune Mogra Basmati Rice 10 kg,689.0,13.0,792.0
Good Life Turmeric Powder 500 g,115.0,52.0,240.0
Good Life Chitra Rajma 500 g,97.0,15.0,114.0
Gemini Refined Soyabean Oil 1 L,110.0,26.0,149.0
Sundrop SuperLite Advanced Refined Sunflower Oil 3 L,489.0,0.0,489.0
Good Life Ajwain 100 g,42.0,23.0,55.0
Amul Cow Ghee 500 ml (Pouch),315.0,3.0,325.0
Daawat Premium Lachkari Wada Kolam Rice 10 kg,745.0,31.0,1080.0
Daawat Sehat Mini Mogra Basmati Rice 10 kg,449.0,10.0,499.0
Good Life Chilli Powder 500 g,155.0,35.0,238.0
Ziofit 1kg Popular Almonds Calfornia,749.0,40.0,1248.0
Tata Sampann Chitra Rajma 500 g,111.0,10.0,123.0
Nutri Binge 1kg Whole Cashews,680.0,54.0,1478.0
Good Life Brown Chana 1 kg,105.0,22.0,135.0
Parry's Jaggery Powder 500 g,35.0,36.0,55.0
Daawat Devaaya Basmati Rice 5 kg,545.0,24.0,717.0
Good Life Big Mustard 200 g,28.0,37.0,44.0
Good Life White Till 500 g,129.0,32.0,190.0
Good Life Premium Sona Masuri Rice 1 kg,61.0,39.0,100.0
Good Life Washed Gota Urad 1 kg,172.0,13.0,198.0
"Dry Fruit Hub Pumpkin Seeds 1Kg - AAA Grade, Raw Pumpkin Seed, Super Diet Food",665.0,36.0,1039.0
Sagar Pure Ghee 1 L (Pouch),590.0,4.0,615.0
Simla Premium 5 Liter Danedar Cow Ghee | Pure Cow Ghee | 5 Liter,2099.0,44.0,3748.0
Fortune Biryani Special Basmati Rice 1 kg,169.0,19.0,209.0
921 CLASSIC BASMATI MOGRA | MUNGRA RICE - 10KG,569.0,8.0,618.0
Tata Sampann Unpolished Tur / Arhar Dal 1 kg,259.0,10.0,288.0
Fortune Rozana Dubar Basmati Rice 5 kg,499.0,14.0,580.0
Good Life Almonds 200 g,175.0,35.0,269.0
Marwar Jeera Whole Cumin Seeds (Machine Clean JIRA Big Bold Size) 400g,279.0,65.0,797.0
NUTRIMIXX 100% Natural Premium Crunchy Cashews 1 Kg| Nuts Dry Fruit| Gluten Free,661.0,73.0,2448.0
Wonderland Foods Platinum California Pistachios Roasted & Salted 400 g,399.0,44.0,712.0
Catch Super Garam Masala 200 g,52.0,50.0,104.0
Nature's Choice Mixed Dry Fruits 400 g,199.0,23.0,258.0
Good Life Coriander Powder 500 g,85.0,26.0,115.0
"BANIYYA SETH Afgani Farm Premium Afghani Anjeer, 1kg",549.0,57.0,1277.0
Good Life Kabuli Chana 1 kg,219.0,17.0,264.0
Good Life Chironji 100 g,165.0,51.0,337.0
NAVJEEVAN BLACK PEPPER 500g.,395.0,53.0,840.0
Pansari Kachi Ghani Mustard oil/Sarso Cooking Oil| Good for Bones & Heart| - 3 Litre,519.0,31.0,752.0
"Farmley 1kg Popular Almonds Californian, 100% Natural, 2 Times Crunchier Badaam",719.0,60.0,1798.0
Fortune Rozana Basmati Rice 1 kg,99.0,23.0,129.0
Daawat Super Basmati Rice 5 kg,745.0,31.0,1080.0
Happilo 500g Popular Almond California,440.0,29.0,620.0
Good Life Surti Kolam Rice 1 kg,74.0,29.0,104.0
Veganic Unrefined Desi Khand/Khhand | Khandsari Sugar | Sulphur-free Khand | Mishri Powder | Semi Crystal Sugar | Full Of Minerals & Nutrients (900g),215.0,56.0,489.0
LILA DRY FRUITS 500gms x 2 (1 Kgs) Mason Jar Pack Premium Dried Afghani Anjeer| Dried Figs,749.0,50.0,1498.0
Good Life Whole Moong 1 kg,169.0,10.0,188.0
India Gate Super Basmati Rice 1 kg,209.0,16.0,249.0
Good Life Fenugreek 200 g,35.0,22.0,45.0
Pyramid Traders 1 KG Brown Plus Kashmiri Walnut Kernels (Without Shell) Akrot Giri,649.0,67.0,1967.0
Gulab Classic Refined Cottonseed Oil 1 L,106.0,51.0,216.0
Good Life Roasted Chana Dal / Split Bengal Gram 200 g,27.0,22.0,35.0
Good Life Whole Masoor 500 g,55.0,22.0,71.0
Good Life Whole (W320) Cashews 100 g,99.0,17.0,119.0
GKD's Premium Pure Coconut Oil Jar (1 L),280.0,32.0,412.0
Catch Kasuri Methi 25 g,20.0,33.0,30.0
Brill Whole Cashews Daily 500g,332.0,63.0,897.0
"ARYIONUTS Premium Organics Dry Fruits Afghani Anjeer - 1kg | Dried Figs | Natural, Rich in Iron, Fibre & Vitamins Anjeer Figs | Afghanistan Anjir Dry Fruit Pouch Pack - (1kg)",519.0,48.0,998.0
Tata Sampann Unpolished Urad Dal 500 g,99.0,10.0,110.0
Nesa Broken Raw Cashew -1Kg,559.0,65.0,1597.0
Good Life Jeerasar Rice 1 kg,59.0,0.0,59.0
Surya 500gm Green Cardamom(Hari Elaichi) Whole| Elakulu,999.0,33.0,1491.0
"Sri Sri Tattva Toor Dal - Split Pigeon Pea, 1kg x Pack of 2",414.0,10.0,460.0
Bemisal Premium Shahi Pakwan Rice 1 kg,61.0,67.0,185.0
Good Life Unpolished Toor Dal 500 g,116.0,15.0,136.0
Tata Sampann Unpolished Gota Urad 1 kg,210.0,10.0,233.0
Fortune Soya Wadi / Chunks 200 g,48.0,20.0,60.0
RUNUTZ 500g Cashew Nuts (250g X 2),399.0,32.0,587.0
Prabhat Cow Ghee 1 L (Pouch),540.0,23.0,701.0
Angur Oily Toor Dal 5Kg,1350.0,10.0,1500.0
Good Life Whole Black Pepper 25 g,29.0,17.0,35.0
Daawat Pulav Basmati Rice 500 g,65.0,23.0,84.0
Fortune Mini Mogra Basmati Rice 10 kg,569.0,18.0,694.0
Good Life Sona Masoori Rice 10 kg,569.0,19.0,702.0
Organic Tattva Chakki Wheat Flour 5 kg,249.0,37.0,395.0
Gemini Refined Sunflower Oil 5 L,609.0,31.0,883.0
Daawat Devaaya Basmati Rice 1 kg,109.0,24.0,143.0
Good Life Soya Wadi / Chunks 500 g,67.0,50.0,134.0
Catch Garam Masala 100 g,50.0,50.0,100.0
Nutraj Jumbo California Walnuts in Shell 1 kg,539.0,46.0,998.0
Good Life Wada Kolam Rice 30 kg,1949.0,27.0,2670.0
Bio herbs Kimia dates (Rich in Dietary Fiber) 500g (Pack of 2),365.0,59.0,890.0
Good Life Classic Kolam Rice 30 kg,1679.0,16.0,1999.0
Leonardo Pomace Olive Oil 5 L,2899.0,29.0,4083.0
Everest Garam Masala 100 g,93.0,7.0,100.0
"Aeroplane Rozana Premium Basmati Rice Perfectly Aged Long Grain with Rich Aroma Basmati Rice, 5 Kg",600.0,4.0,625.0
Value Pack Plain Cashews (4 pcs) 500 g,339.0,24.0,446.0
Karan's Cashew Whole Cashew Nuts 1 Kg ( 500gX2) / Kaju.,669.0,52.0,1394.0
Daawat Pulav Basmati Rice 1 kg,135.0,18.0,165.0
Catch Turmeric Powder 500 g,116.0,33.0,173.0
Dhara Filtered Groundnut Oil 5 L,989.0,15.0,1164.0
Good Life Dal Mix 500 g,76.0,17.0,92.0
Go Crackers 2kg Broken Walnuts Kernels Amber without Shell (250g x 8),855.0,63.0,2311.0
Daawat Sehat Mini Mogra 60 Basmati Rice 10 kg,549.0,15.0,646.0
Catch Sabzi Masala 100 g,36.0,50.0,72.0
Anjani Popular Cashews/Kaju 1 kg,735.0,54.0,1598.0
Good Life Mixed Dry Fruits 500 g,289.0,17.0,348.0
Everest Tikhalal Chilli Powder 500 g,272.0,15.0,320.0
Tata Sampann Turmeric Powder 200 g,72.0,10.0,80.0
EassyDairy WITH DEVICE OF ED 1 Liter Desi Ghee | Pure Ghee for Better Digestion | Immunity Booster| Tetra Pack,419.0,32.0,616.0
Desi Kitchen Ginger Garlic Paste 200 g,29.0,50.0,58.0
"GreenFinity: Premium Chia Seeds 300g - Raw Chia Seeds For Eating With Omega 3 & Fibre for Weight Loss management, [Jar Pack of 1].",174.0,64.0,483.0
Marwar Mirchi (Red Chilly powder-500g) + Haldi (Turmeric powder-200g) + Dhania (Coriander powder-200g) Agmark Spices Super Saver Combo Pack of 900g,229.0,40.0,382.0
"Farmley 8 in 1 Tasty Berry Mix Antioxidants Rich, Mix Dried Berries 400g(Pack of 2, Each 200 g)",349.0,50.0,698.0
BLK Foods 1Kg Indian Kishmish | Big Size Raisins ( 500g x 2),349.0,75.0,1396.0
Tata Sampann Turmeric Powder 100 g,37.0,11.0,42.0
Good Life Cloves 50 g,87.0,17.0,105.0
Tata Sampann Garam Masala 100 g,93.0,10.0,103.0
Nature's Bliss Calcutta Meetha Paan Mouth Freshner Paan mukhwas Without Supari Jar Packing FD Quality Product (400gm),199.0,55.0,442.0
Good Life Jeera 1 kg,599.0,58.0,1426.0
ERAVAT RICE I Parmal 30kg Rice | Silky Parmal I TAKA TAK RICE,1648.0,8.0,1791.0
"Horaira Nutz Premium Dry fruits Combo Pack 750gm Cashew , Almond , Raisins (Pack of 3 Each 250gm)",599.0,53.0,1274.0
Dynamix Cow Ghee 1 L (Pouch),609.0,15.0,716.0
Tata Sampann Unpolished Urad Dal 1 kg,201.0,10.0,223.0
Good Life Whole Urad 500 g,73.0,19.0,90.0
Fortune Soya Wadi / Chunks 1 kg,132.0,34.0,200.0
Good Life Popcorn Maize 500 g,76.0,20.0,95.0
Good Life Red Rajma 500 g,105.0,16.0,125.0
VEER BRAND ROYAL - Extra Long Grain XXXL 5 Kg Biryani Basmati Rice,599.0,40.0,998.0
Good Life California Roasted & Salted Pista 500 g,569.0,0.0,569.0
"Dry Mart Kashmiri Walnuts 1KG Without Shell/Premium Fresh Walnut Kernels/Akhrot Giri, Healthy & Delightful, Used for Snacking, Ingredient for Recipes, Cuisines & Desserts, Vaccum Pack (250GM*4)",649.0,45.0,1180.0
Catch Kashmiri Mirch Powder 100 g,83.0,33.0,124.0
Good Life Fenugreek 100 g,19.0,24.0,25.0
Good Life Flax Seeds 100 g,23.0,8.0,25.0
Vandevi Bandhani No 1 Hing Powder 100 g,80.0,50.0,160.0
DAIRYSAGAR DAIRY MAKHAN Pure Desi COW Ghee ||Pure Ghee for Better Digestion and Immunity-1 ltr TetraPack,398.0,41.0,675.0
Good Life Poppy Seed 100 g,195.0,22.0,250.0
Nuttz Bites Premium Roasted & Salted Pistachios Nut 250g (Pack of 2),575.0,45.0,1045.0
Saffola Active Pro Weight Watchers Blended Oil 15 L,1679.0,30.0,2399.0
Good Life Big Crystal Diamond Sugar 200 g,20.0,9.0,22.0
The Oil Factory 5.25L Extra Light Olive Oil | Ideal for All Indian Cooking | Imported from Spain,1700.0,65.0,4857.0
Catch Turmeric Powder 200 g,48.0,33.0,72.0
"Future life Oats Atta | Whole Grains Oats | With Targeted Minerals of Zinc, Chromium, and Magnesium | Gluten-free | High Fiber and Protein | 100% Healthy & Natural | 1kg Pouch",185.0,15.0,218.0
Good Life Tibar Basmati Rice 1 kg,79.0,20.0,99.0
